problem_id,goal,reference,generated,match
problem_016__ontology,frequency,5.0,5.0,True
problem_016__ontology,centripetal_acceleration_surface,98.596,98.69604401089359,True
problem_016__ontology,centripetal_acceleration_at_5_cm,49.298,49.34802200544679,True
problem_016__single,period,0.2,0.2,True
problem_016__single,frequency,5.0,5.0,True
problem_016__single,centripetal_acceleration_surface,98.596,98.69604401089359,True
problem_016__single,centripetal_acceleration_at_5_cm,49.298,49.34802200544679,True
problem_017__ontology,final_velocity,90.0,90.0,True
problem_017__ontology,distance_covered,270.0,270.0,True
problem_017__ontology,engine_force,992.0,992.0,True
problem_017__single,final_velocity,90.0,90.0,True
problem_017__single,distance_covered,270.0,270.0,True
problem_017__single,engine_force,992.0,992.0,True
problem_018__ontology,kinetic_energy,469000000.0,,False
problem_018__ontology,gravitational_potential_energy,1470000000.0,,False
problem_018__ontology,mechanical_energy,1940000000.0,1938750000.0,True
problem_018__single,kinetic_energy,469000000.0,,False
problem_018__single,gravitational_potential_energy,1470000000.0,,False
problem_018__single,mechanical_energy,1940000000.0,1938750000.0,True
problem_019__ontology,daily_energy_consumed,86400000.0,86400000.0,True
problem_019__ontology,monthly_energy_consumed,2590000000.0,2592000000.0,True
problem_019__single,daily_energy_consumed,86400000.0,86400000.0,True
problem_019__single,monthly_energy_consumed,2590000000.0,2592000000.0,True
problem_020__ontology,initial_mechanical_energy,12.435,12.435,True
problem_020__ontology,final_velocity,12.88,12.876334882255899,True
problem_020__single,initial_mechanical_energy,12.435,12.435,True
problem_020__single,final_velocity,12.88,12.876334882255899,True
problem_021__ontology,energy_consumed_kwh,0.18,0.18,True
problem_021__ontology,energy_consumed_j,648000.0,648000.0,True
problem_021__single,energy_consumed_kwh,0.18,0.18,True
problem_021__single,energy_consumed_j,648000.0,648000.0,True
problem_022__ontology,kinetic_energy,585000.0,585000.0,True
problem_022__single,kinetic_energy,585000.0,585000.0,True
problem_023__ontology,advance_force,2307.9,2309.070600388498,True
problem_023__ontology,return_force,2013.52,2014.5462891144552,True
problem_023__ontology,air_volume_advance,0.38,,False
problem_023__ontology,air_volume_return,0.34,,False
problem_023__ontology,total_air_volume_cycle,0.72,,False
problem_023__single,advance_force,2307.9,2309.070600388498,True
problem_023__single,return_force,2013.52,2014.5462891144552,True
problem_023__single,air_volume_advance,0.38,,False
problem_023__single,air_volume_return,0.34,,False
problem_023__single,total_air_volume_cycle,0.72,,False
problem_024__ontology,final_velocity_zipi,0.17,,False
problem_024__single,final_velocity_zipi,0.17,,False
problem_025__ontology,average_force,0.3,0.3,True
problem_025__single,average_force,0.3,0.3,True
problem_026__ontology,density_g_ml,3.75,3.75,True
problem_026__ontology,density_kg_m3,3750.0,3750.0000000000005,True
problem_026__single,density_g_ml,3.75,3.75,True
problem_026__single,density_kg_m3,3750.0,3750.0000000000005,True
problem_027__ontology,force_small_piston,480.0,480.0,True
problem_027__single,force_small_piston,480.0,480.0,True
